Common Name,images,Description
After Dark Peppermint Tree,After_Dark_Peppermint_Tree.jpg,"This is a Tree (evergreen) plant type, and matures at > 24 ft."
Beach Morning Glory,Beach_Morning_Glory.jpeg,"This is a Perennial plant type, which blooms in Spring, with flower color Pink and matures at 1-3 ft."
Blueblossom,Blueblossom.jpeg,"This is a Shrub (evergreen) plant type, which blooms in Spring, with flower color Blue and matures at 1-3 ft."
Brownie Thistle,Brownie_Thistle.jpeg,"This is a Perennial plant type, which blooms in Summer, with flower color White and matures at 1-3 ft."
California Brome,California_Brome.jpg,"This is a Grass plant type, which blooms in Winter, with flower color Yellow and matures at 4-6 ft."
California Buckeye,California_Buckeye.jpg,"This is a Tree (deciduous) plant type, which blooms in Summer, with flower color White,Pink and matures at 13-24 ft."
California Sagebrush,California_Sagebrush.jpg,"This is a Shrub (evergreen) plant type, which blooms in Summer, with flower color Yellow and matures at 4-6 ft."
Coast Barberry,Coast_Barberry.jpeg,"This is a Shrub (evergreen) plant type, which blooms in Spring, with flower color Yellow and matures at 4-6 ft."
Coast Fiddleneck,Coast_Fiddleneck.jpg,"This is a Perennial plant type, which blooms in Spring, with flower color Yellow and matures at 1-3 ft."
Cobweb Thistle,Cobweb_Thistle.jpg,"This is a Perennial plant type, which blooms in Summer, with flower color Pink and matures at 1-3 ft."
Coyotebrush,Coyotebrush.jpg,"This is a Shrub (evergreen) plant type, which blooms in Fall, with flower color White and matures at 7-12 ft."
Dutchman's Pipevine,Dutchman's_Pipevine.jpg,"This is a Vine plant type, which blooms in Spring,Winter, with flower color Burgundy and matures at > 24 ft."
Hollyhock,Hollyhock.jpg,"This is a Perennial plant type, which blooms in Summer, with flower color Orange,Pink,Purple,Red,White,Yellow and matures at 7-12 ft."
Lemon Bottlebrush,Lemon_Bottlebrush.jpg,"This is a Tree (evergreen) plant type, which blooms in Spring,Summer, with flower color Red and matures at 13-24 ft."
Marina Strawberry Tree,Marina_Strawberry_Tree.jpg,"This is a Tree (evergreen) plant type, which blooms in Fall,Winter, with flower color Pink and matures at 13-24 ft."
Miner's Lettuce,Miner's_Lettuce.jpg,"This is a Annual plant type, which blooms in Spring,Winter, with flower color Pink,White and matures at < 1 ft."
Monterey Indian Paintbrush,Monterey_Indian_Paintbrush.jpeg,"This is a Perennial plant type, which blooms in Spring,Summer, with flower color Orange,Red and matures at < 1 ft."
Narrowleaf Milkweed,Narrowleaf_Milkweed.jpg,"This is a Perennial plant type, which blooms in Summer, with flower color Pink,White and matures at 1-3 ft."
Pearly Everlasting,Pearly_Everlasting.jpg,"This is a Perennial plant type, which blooms in Summer, with flower color White,Yellow and matures at 1-3 ft."
Peppermint Tree,Peppermint_Tree.jpg,"This is a Tree (evergreen) plant type, which blooms in Summer, with flower color White and matures at > 24 ft."
Purple-Leaf Acacia,Purple-Leaf_Acacia.jpg,"This is a Tree (evergreen) plant type, which blooms in Spring, with flower color Yellow and matures at > 24 ft."
Ray Hartman Ceanothus,Ray_Hartman_Ceanothus.jpg,"This is a Tree (evergreen) plant type, which blooms in Spring, with flower color Blue and matures at 13-24 ft."
Red Horsechestnut,Red_Horsechestnut.jpg,This is a Tree (deciduous) plant type and matures at > 24 ft.
Red Maple,Red_Maple.JPG,"This is a Tree (deciduous) plant type, which blooms in Spring, with flower color Red and matures at > 24 ft."
Franciscan Paintbrush,Red_paintbrush_Castilleja_miniata_close.jpg,"This is a Perennial plant type, which blooms in Summer, with flower color Orange,Red and matures at 1-3 ft."
Sea Thrift,Sea_Thrift.jpg,"This is a Perennial plant type, which blooms in Summer, with flower color Pink and matures at 1-3 ft."
Spice Bush,Spice_Bush.jpg,"This is a Shrub (evergreen) plant type, which blooms in Summer, with flower color Burgundy and matures at 7-12 ft."
Weeping Bottlebrush,Weeping_Bottlebrush.jpeg,"This is a Tree (evergreen) plant type, which blooms in Spring,Summer, with flower color red and matures at > 24 ft."
Western Service Berry,Western_Service_Berry.jpg,"This is a Shrub (deciduous) plant type, which blooms in Summer, with flower color White and matures at 4-6 ft."
White Alder,White_Alder.jpg,"This is a Tree (deciduous) plant type, which blooms in Fall, with flower color Yellow and matures at > 24 ft."
Wight's Paintbrush,Wight's_Paintbrush.jpg,"This is a Perennial plant type, which blooms in Summer, with flower color Red,White,Yellow and matures at 1-3 ft."
Wild Ginger,Wild_Ginger.jpeg,"This is a Perennial plant type, which blooms in Spring, with flower color Burgundy and matures at < 1 ft."
Yarrow,Yarrow.jpg,"This is a Perennial plant type, which blooms in Spring,Summer, with flower color White and matures at 1-3 ft."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
